id;name;state;city
1;Tuna;Games port;South Estellafort
2;superstructure Baby bypassing;Bedfordshire Generic global;North Chaseburgh
3;Niger Auto embrace;cyan;Ignatiusburgh
4;synthesize Keyboard;Jamaica input;Brooklyn Park
5;Aruban Pizza;Account Concrete;Port Kristin
6;Metal Grocery Madagascar;ubiquitous Engineer;East Alyson
7;connecting;program Washington withdrawal;Port Danial
8;executive Nakfa;parsing supply-chains;Danykafort
9;Table;models;New Britain
10;Burundi;Solutions Swaziland Metal;Lake Eraborough
